Q1	massage oil buy good oil massage
Q1_C1	massage oil do village spa great
Q1_C2	massage oil dear please read question writing answer asking massage ask oil second answer search oil body massage buy one small shop near sport shop oil nice smell making massage
Q1_C3	massage oil happy oil read question lots things writing stupid people read write question need answer directly question empty answer nothing
Q1_C4	massage oil might able find body massage oil body shop landmark city centre guarantee good massage place sell duplicate watch cause allergy skin good luck
Q1_C5	massage oil hi accord body nature picture advise use car oil type forever like car body
Q1_C6	massage oil oh sorry also answer petrol stations
Q2	family visit visa month dear member wife qatar family visit visa na month get month visa procedure inform
Q2_C1	family visit visa month thanks get english format visa extension form
Q3	better experience n better experience n
Q3_C1	better experience n
Q4	extend visit visa month long period want extend visit visa procedure long get extension thanks answer
Q4_C1	extend visit visa month chief tailor think already get message enough
Q5	boyfriend get baby son visit visa boyfriend currently works government office get baby visit visa long stay doha also get married well stay together house give us advice steps take getting visa requirement marriage qatar greatly advance
Q5_C1	boyfriend get baby son visit boyfriend cant husband apply visit visa
Q5_C2	boyfriend get baby son visit boyfriend sponsor become husband
Q5_C3	boyfriend get baby son visit far know need show proof marriage certificate apply show proof relationship
Q5_C4	boyfriend get baby son visit nationality play major role r certain citizenship get arrival visa airport arrival u r one country u problem buy ticket come get visa airport arrival citizenship
Q5_C5	boyfriend get baby son visit want get married qatar arrive possible tell apply visit visa son want us get married qatar
Q5_C6	boyfriend get baby son visit dear let boy friend arrange things really want marry process long lots documentation need friend get married child lots documentation need take long time get marriage certificate issue therefore fly back home country waiting attestation marriage certificate do waiting family visa process get ready process good luck wedding
Q5_C7	boyfriend get baby son visit thanks answer really like help want get married qatar fact getting married proof enough qatari official know legal enough requirement us stay fiance house suppose get married philippines time us set wedding
Q5_C8	boyfriend get baby son visit much easy get civil married first apply way stay legally worry
Q6	cheap buy new clothes qatar pay transport uk begin employment qatar aug quote fly worth hassle customs buy new price compare uk next qatar next
Q6_C1	cheap buy new clothes qatar pay u specifically next price r u get u find uk british way much much clothes humbly suggest u evaluate yr clothes u know price u alone able judge money buy u u decide leave behind good luck
